frame,qr,esquina,x,y
14,138,left_top,141,655
14,138,left_bottom,136,610
14,138,right_top,180,643
14,138,right_bottom,176,599
16,138,left_top,151,658
16,138,left_bottom,146,614
16,138,right_top,190,647
16,138,right_bottom,186,604
19,138,left_top,169,662
19,138,left_bottom,165,619
19,138,right_top,209,652
19,138,right_bottom,205,609
22,138,left_top,178,665
22,138,left_bottom,174,623
22,138,right_top,218,656
22,138,right_bottom,215,615
25,138,left_top,185,675
25,138,left_bottom,181,634
25,138,right_top,225,667
25,138,right_bottom,222,626
27,138,left_top,190,682
27,138,left_bottom,187,641
27,138,right_top,231,673
27,138,right_bottom,227,633
28,138,left_top,197,685
28,138,left_bottom,194,643
28,138,right_top,238,676
28,138,right_bottom,234,635
84,138,left_top,398,702
84,138,left_bottom,399,660
84,138,right_top,441,707
84,138,right_bottom,443,664
85,138,left_top,401,702
85,138,left_bottom,402,660
85,138,right_top,443,707
85,138,right_bottom,446,664
86,138,left_top,405,698
86,138,left_bottom,407,657
86,138,right_top,448,704
86,138,right_bottom,451,661
88,138,left_top,413,695
88,138,left_bottom,415,653
88,138,right_top,456,701
88,138,right_bottom,458,658
89,138,left_top,414,695
89,138,left_bottom,416,654
89,138,right_top,457,702
89,138,right_bottom,459,659
90,138,left_top,416,696
90,138,left_bottom,417,655
90,138,right_top,458,703
90,138,right_bottom,460,660
91,138,left_top,418,696
91,138,left_bottom,420,655
91,138,right_top,460,703
91,138,right_bottom,462,660
92,138,left_top,418,696
92,138,left_bottom,420,655
92,138,right_top,460,703
92,138,right_bottom,463,661
94,138,left_top,423,697
94,138,left_bottom,426,656
94,138,right_top,466,704
94,138,right_bottom,468,662
96,138,left_top,425,699
96,138,left_bottom,428,657
96,138,right_top,467,706
96,138,right_bottom,470,663
98,138,left_top,425,698
98,138,left_bottom,427,656
98,138,right_top,467,706
98,138,right_bottom,468,663
99,138,left_top,425,699
99,138,left_bottom,426,658
99,138,right_top,467,707
99,138,right_bottom,468,664
100,138,left_top,427,699
100,138,left_bottom,428,657
100,138,right_top,468,707
100,138,right_bottom,471,664
102,138,left_top,432,699
102,138,left_bottom,434,656
102,138,right_top,474,707
102,138,right_bottom,476,663
103,138,left_top,434,699
103,138,left_bottom,436,656
103,138,right_top,476,707
103,138,right_bottom,478,664
115,138,left_top,484,715
115,138,left_bottom,486,670
115,138,right_top,526,726
115,138,right_bottom,529,678
116,138,left_top,490,715
116,138,left_bottom,493,670
116,138,right_top,532,726
116,138,right_bottom,536,679
117,138,left_top,495,714
117,138,left_bottom,497,669
117,138,right_top,537,726
117,138,right_bottom,540,679
119,138,left_top,504,709
119,138,left_bottom,507,664
119,138,right_top,547,721
119,138,right_bottom,550,673
120,138,left_top,508,706
120,138,left_bottom,511,660
120,138,right_top,550,718
120,138,right_bottom,554,670
123,138,left_top,511,704
123,138,left_bottom,515,659
123,138,right_top,554,717
123,138,right_bottom,558,669
124,138,left_top,512,703
124,138,left_bottom,516,657
124,138,right_top,555,715
124,138,right_bottom,558,667
125,138,left_top,515,700
125,138,left_bottom,518,653
125,138,right_top,557,712
125,138,right_bottom,561,665
127,138,left_top,519,695
127,138,left_bottom,522,648
127,138,right_top,561,707
127,138,right_bottom,564,659
128,138,left_top,520,692
128,138,left_bottom,523,646
128,138,right_top,562,705
128,138,right_bottom,566,656
130,138,left_top,522,690
130,138,left_bottom,526,644
130,138,right_top,565,703
130,138,right_bottom,568,654
131,138,left_top,522,693
131,138,left_bottom,526,646
131,138,right_top,564,705
131,138,right_bottom,568,657
132,138,left_top,521,696
132,138,left_bottom,525,650
132,138,right_top,563,709
132,138,right_bottom,566,660
133,138,left_top,520,700
133,138,left_bottom,523,653
133,138,right_top,562,712
133,138,right_bottom,565,663
134,138,left_top,520,701
134,138,left_bottom,523,655
134,138,right_top,562,713
134,138,right_bottom,565,664
135,138,left_top,521,700
135,138,left_bottom,523,654
135,138,right_top,562,712
135,138,right_bottom,565,664
136,138,left_top,523,696
136,138,left_bottom,526,650
136,138,right_top,565,709
136,138,right_bottom,568,660
137,138,left_top,526,692
137,138,left_bottom,529,646
137,138,right_top,568,704
137,138,right_bottom,571,655
138,138,left_top,528,690
138,138,left_bottom,530,644
138,138,right_top,570,702
138,138,right_bottom,573,653
139,138,left_top,529,690
139,138,left_bottom,531,643
139,138,right_top,571,702
139,138,right_bottom,573,653
140,138,left_top,528,691
140,138,left_bottom,531,644
140,138,right_top,571,703
140,138,right_bottom,574,654
141,138,left_top,526,695
141,138,left_bottom,529,648
141,138,right_top,568,706
141,138,right_bottom,571,658
142,138,left_top,526,696
142,138,left_bottom,528,650
142,138,right_top,567,708
142,138,right_bottom,570,660
143,138,left_top,526,696
143,138,left_bottom,528,650
143,138,right_top,567,708
143,138,right_bottom,570,659
144,138,left_top,528,695
144,138,left_bottom,531,648
144,138,right_top,569,707
144,138,right_bottom,572,658
145,138,left_top,531,696
145,138,left_bottom,534,650
145,138,right_top,572,708
145,138,right_bottom,575,659
146,138,left_top,531,700
146,138,left_bottom,533,654
146,138,right_top,572,712
146,138,right_bottom,575,664
147,138,left_top,532,701
147,138,left_bottom,534,655
147,138,right_top,573,713
147,138,right_bottom,576,665
148,138,left_top,532,701
148,138,left_bottom,534,654
148,138,right_top,573,712
148,138,right_bottom,576,664
149,138,left_top,534,693
149,138,left_bottom,537,647
149,138,right_top,576,705
149,138,right_bottom,578,657
