frame,qr,esquina,x,y
0,120,left_top,110,518
0,120,left_bottom,106,464
0,120,right_top,154,508
0,120,right_bottom,150,455
0,140,left_top,179,507
0,140,left_bottom,175,455
0,140,right_top,219,498
0,140,right_bottom,215,448
0,121,left_top,116,586
0,121,left_bottom,113,535
0,121,right_top,158,573
0,121,right_bottom,155,523
0,80,left_top,65,690
0,80,left_bottom,61,635
0,80,right_top,101,669
0,80,right_bottom,96,618
0,123,left_top,129,711
0,123,left_bottom,124,664
0,123,right_top,171,694
0,123,right_bottom,167,649
0,122,left_top,122,650
0,122,left_bottom,118,601
0,122,right_top,165,635
0,122,right_bottom,160,587
0,101,left_top,247,599
0,101,left_bottom,243,554
0,101,right_top,285,590
0,101,right_bottom,283,546
0,99,left_top,241,480
0,99,left_bottom,240,431
0,99,right_top,283,475
0,99,right_bottom,282,426
0,127,left_top,322,472
0,127,left_bottom,323,426
0,127,right_top,364,471
0,127,right_bottom,366,424
0,130,left_top,315,638
0,130,left_bottom,316,598
0,130,right_top,356,634
0,130,right_bottom,358,594
1,120,left_top,113,515
1,120,left_bottom,108,459
1,120,right_top,156,503
1,120,right_bottom,153,450
1,140,left_top,183,502
1,140,left_bottom,178,449
1,140,right_top,223,492
1,140,right_bottom,219,442
1,121,left_top,119,581
1,121,left_bottom,115,529
1,121,right_top,161,568
1,121,right_bottom,158,518
1,100,left_top,248,535
1,100,left_bottom,247,489
1,100,right_top,289,528
1,100,right_bottom,289,482
1,101,left_top,252,593
1,101,left_bottom,248,548
1,101,right_top,291,584
1,101,right_bottom,289,540
1,99,left_top,246,474
1,99,left_bottom,245,425
1,99,right_top,288,469
1,99,right_bottom,287,420
1,106,left_top,559,479
1,106,left_bottom,563,435
1,106,right_top,607,479
1,106,right_bottom,611,435
2,120,left_top,105,516
2,120,left_bottom,100,461
2,120,right_top,149,504
2,120,right_bottom,145,452
2,79,left_top,54,615
2,79,left_bottom,55,561
2,79,right_top,89,599
2,79,right_bottom,89,546
2,121,left_top,112,581
2,121,left_bottom,107,531
2,121,right_top,154,569
2,121,right_bottom,151,519
2,123,left_top,124,706
2,123,left_bottom,119,659
2,123,right_top,168,689
2,123,right_bottom,163,644
2,102,left_top,249,651
2,102,left_bottom,246,608
2,102,right_top,288,639
2,102,right_bottom,285,597
2,99,left_top,239,476
2,99,left_bottom,238,428
2,99,right_top,282,470
2,99,right_bottom,281,422
2,101,left_top,245,595
2,101,left_bottom,242,550
2,101,right_top,285,585
2,101,right_bottom,282,542
2,100,left_top,240,537
2,100,left_bottom,240,490
2,100,right_top,283,529
2,100,right_bottom,282,484
3,79,left_top,48,615
3,79,left_bottom,48,560
3,79,right_top,83,598
3,79,right_bottom,83,546
3,122,left_top,112,646
3,122,left_bottom,107,596
3,122,right_top,156,630
3,122,right_bottom,150,582
3,121,left_top,106,582
3,121,left_bottom,101,531
3,121,right_top,148,568
3,121,right_bottom,145,519
3,120,left_top,99,515
3,120,left_bottom,94,461
3,120,right_top,143,504
3,120,right_bottom,139,452
3,80,left_top,53,683
3,80,left_bottom,47,630
3,80,right_top,89,663
3,80,right_bottom,84,612
3,123,left_top,119,705
3,123,left_bottom,113,658
3,123,right_top,162,689
3,123,right_bottom,158,644
3,99,left_top,234,476
3,99,left_bottom,233,428
3,99,right_top,276,470
3,99,right_bottom,275,422
3,100,left_top,236,537
3,100,left_bottom,234,491
3,100,right_top,278,529
3,100,right_bottom,277,484
3,125,left_top,138,819
3,125,left_bottom,131,777
3,125,right_top,179,800
3,125,right_bottom,172,758
3,130,left_top,310,633
