frame,qr,esquina,x,y
0,127,left_top,322,472
0,127,left_bottom,323,426
0,127,right_top,364,471
0,127,right_bottom,366,425
0,80,left_top,65,690
0,80,left_bottom,61,635
0,80,right_top,101,669
0,80,right_bottom,96,618
0,127,left_top,322,472
0,127,left_bottom,323,426
0,127,right_top,364,471
0,127,right_bottom,366,425
0,80,left_top,65,690
0,80,left_bottom,61,635
0,80,right_top,101,669
0,80,right_bottom,96,618
3,80,left_top,53,683
3,80,left_bottom,47,630
3,80,right_top,89,663
3,80,right_bottom,84,612
3,80,left_top,53,683
3,80,left_bottom,47,630
3,80,right_top,89,663
3,80,right_bottom,84,612
7,80,left_top,21,696
7,80,left_bottom,15,644
7,80,right_top,60,676
7,80,right_bottom,54,627
7,80,left_top,21,696
7,80,left_bottom,15,644
7,80,right_top,60,676
7,80,right_bottom,54,627
9,80,left_top,10,697
9,80,left_bottom,4,646
9,80,right_top,49,679
9,80,right_bottom,44,630
9,80,left_top,10,697
9,80,left_bottom,4,646
9,80,right_top,49,679
9,80,right_bottom,44,630
10,80,left_top,4,698
10,80,left_bottom,0,647
10,80,right_top,45,680
10,80,right_bottom,40,631
10,80,left_top,4,698
10,80,left_bottom,0,647
10,80,right_top,45,680
10,80,right_bottom,40,631
14,138,left_top,141,655
14,138,left_bottom,136,610
14,138,right_top,180,643
14,138,right_bottom,176,599
14,138,left_top,141,655
14,138,left_bottom,136,610
14,138,right_top,180,643
14,138,right_bottom,176,599
16,138,left_top,151,658
16,138,left_bottom,146,614
16,138,right_top,190,647
16,138,right_bottom,186,604
16,80,left_top,8,702
16,80,left_bottom,3,654
16,80,right_top,50,686
16,80,right_bottom,46,639
16,138,left_top,151,658
16,138,left_bottom,146,614
16,138,right_top,190,647
16,138,right_bottom,186,604
16,80,left_top,8,702
16,80,left_bottom,3,654
16,80,right_top,50,686
16,80,right_bottom,46,639
17,80,left_top,14,701
17,80,left_bottom,9,653
17,80,right_top,55,686
17,80,right_bottom,51,640
17,80,left_top,14,701
17,80,left_bottom,9,653
17,80,right_top,55,686
17,80,right_bottom,51,640
19,138,left_top,169,662
19,138,left_bottom,165,619
19,138,right_top,209,652
19,138,right_bottom,205,609
19,138,left_top,169,662
19,138,left_bottom,165,619
19,138,right_top,209,652
19,138,right_bottom,205,609
22,138,left_top,178,665
22,138,left_bottom,174,623
22,138,right_top,218,656
22,138,right_bottom,215,615
22,138,left_top,178,665
22,138,left_bottom,174,623
22,138,right_top,218,656
22,138,right_bottom,215,615
23,80,left_top,41,700
23,80,left_bottom,37,655
23,80,right_top,83,688
23,80,right_bottom,80,644
23,80,left_top,41,700
23,80,left_bottom,37,655
23,80,right_top,83,688
23,80,right_bottom,80,644
24,80,left_top,45,703
24,80,left_bottom,41,659
24,80,right_top,87,692
24,80,right_bottom,84,648
24,80,left_top,45,703
24,80,left_bottom,41,659
24,80,right_top,87,692
24,80,right_bottom,84,648
25,138,left_top,185,675
25,138,left_bottom,181,634
25,138,right_top,225,667
25,138,right_bottom,222,626
25,80,left_top,44,709
25,80,left_bottom,40,664
25,80,right_top,86,697
25,80,right_bottom,83,653
25,138,left_top,185,675
25,138,left_bottom,181,634
25,138,right_top,225,667
25,138,right_bottom,222,626
25,80,left_top,44,709
25,80,left_bottom,40,664
25,80,right_top,86,697
25,80,right_bottom,83,653
27,138,left_top,190,682
27,138,left_bottom,187,641
27,138,right_top,231,673
27,138,right_bottom,227,633
27,138,left_top,190,682
27,138,left_bottom,187,641
27,138,right_top,231,673
27,138,right_bottom,227,633
28,138,left_top,197,685
28,138,left_bottom,194,643
28,138,right_top,238,676
28,138,right_bottom,234,635
28,80,left_top,58,716
28,80,left_bottom,55,673
28,80,right_top,100,705
28,80,right_bottom,97,662
28,138,left_top,197,685
28,138,left_bottom,194,643
28,138,right_top,238,676
28,138,right_bottom,234,635
28,80,left_top,58,716
28,80,left_bottom,55,673
28,80,right_top,100,705
28,80,right_bottom,97,662
34,71,left_top,0,645
34,71,left_bottom,1,598
34,71,right_top,50,636
34,71,right_bottom,51,591
35,71,left_top,7,647
35,71,left_bottom,7,601
35,71,right_top,55,639
35,71,right_bottom,57,594
